pmm,smm,vmm,exclude,deceased,firstName,nickName,lastName,organizationName,totalDonations,totalPledge,largestGift,largestGiftAppeal,firstGiftDate,lastGiftDate,lastGiftAmount,lastGiftRequest,lastGiftAppeal,addressLine1,addressLine2,city,contactPhoneType,phoneRestrictions,emailRestrictions,communicationRestrictions,subscriptionInPerson,subscriptionMagazine,communicationPreference
,,,true,false,Berty,,Haxley,"McClure, Ondricka and Schultz",20,15,20,,22158,,,,,955 Tennessee Street,Apt 1784,Nanaimo,home,No Surveys,No Surveys,Opt-out,Opt-in,Opt-in,Newsletter
Sheryl Purcell,,Sheryl Purcell,true,false,Sheryl,,Purcell,"Reynolds, Mann and Klocko",4,2,65,,,,,,pede lobortis ligula sit amet eleifend pede libero quis orci,7003 Mendota Place,PO Box 15321,Vancouver,work,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-out,Research update
,,Bren Goldthorpe,false,false,Bren,Bren,Goldthorpe,McKenzie and Sons,13,6,44,,,,,,vivamus vel nulla eget eros elementum,223 Glacier Hill Street,PO Box 5945,Surrey,work,Do Not Call,Do Not Email,Opt-out,Opt-in,Opt-out,Newsletter
,Merill Faill,,false,false,Merill,,Faill,Bruen-Ryan,6,6,3,,,,,,,76625 Dakota Alley,,Victoria,personal,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-out,Thank you
,Faydra de Clerk,,false,false,Faydra,,de Clerk,Stiedemann and Sons,10,2,53,,1370,,,,,79249 Mitchell Road,16th Floor,Surrey,personal,No Phone Appeals,Do Not Email,Opt-out,Opt-in,Opt-out,Thank you
Dicky Ucceli,,,true,false,Dicky,,Ucceli,,15,11,34,,,,94,,turpis eget elit sodales scelerisque mauris sit,7707 Stephen Way,,Burnaby,home,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-out,Holiday Card
,,,false,false,Barb,,Blose,Ernser and Sons,9,4,87,,,,,,,46469 Eagan Pass,Suite 35,Campbell,personal,No Mass Communications,No Appeals,Opt-in,Opt-in,Opt-out,Newsletter
,,Elfrieda Blindt,true,false,Elfrieda,,Blindt,Shields and Sons,19,8,39,,31628,,,,luctus et ultrices posuere,2426 Coleman Circle,3rd Floor,Victoria,personal,No Surveys,No Surveys,Opt-in,Opt-in,Opt-out,Survey
,,,false,true,Talbot,,Tuffey,,17,16,37,,,,2,,,6059 Meadow Valley Crossing,,Parksville,home,No Surveys,No Surveys,Opt-out,Opt-in,Opt-in,Event
,,,false,false,Aurel,,Boulds,Gorczany-Zemlak,13,17,7,,,,,,proin at turpis a pede posuere nonummy integer,8 Bay Avenue,PO Box 11163,River,home,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-out,Research update
,,,false,false,Tony,,Sorsby,Kilback and Sons,10,5,76,,,,,,,77762 Atwood Point,18th Floor,Courtenay,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-out,Opt-out,Thank you
,Anna Reinhard,,false,false,Anna,,Reinhard,"Ferry, Hodkiewicz and Bednar",6,11,14,,61084,,,,integer tincidunt ante vel ipsum praesent,3 Clove Lane,,Saanich,home,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-in,Event
Rowena Geoghegan,Rowena Geoghegan,,false,false,Rowena,Rowena,Geoghegan,Morar-Wyman,6,14,66,,,,,,,1349 Union Crossing,PO Box 46128,Campbell,home,Do Not Call,Do Not Email,Opt-out,Opt-out,Opt-out,Research update
,,Eleen Frangello,false,false,Eleen,,Frangello,Runolfsdottir-Davis,6,14,46,,9223,,,,sit amet eros suspendisse accumsan tortor quis,98 Jana Hill,PO Box 2807,Richmond,work,Do Not Call,Do Not Email,Opt-in,Opt-in,Opt-in,Survey
,,,true,false,Creigh,,Baiden,Okuneva-Macejkovic,19,20,31,,,,,,,8650 Hoard Hill,Room 922,Richmond,home,Do Not Call,Do Not Email,Opt-out,Opt-out,Opt-in,Thank you
Filia Nice,,Filia Nice,false,false,Filia,,Nice,"Denesik, Veum and Larkin",4,11,39,,68378,,,,,9628 Larry Lane,7th Floor,Burnaby,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-out,Opt-out,Event
,Rana Ryan,Rana Ryan,false,false,Rana,Rana,Ryan,"Bahringer, Hessel and Little",19,19,37,,,,,,cubilia curae nulla dapibus dolor,881 Dakota Parkway,Suite 43,Courtenay,work,Do Not Call,Do Not Email,Opt-in,Opt-out,Opt-out,Research update
,,,false,false,Gabriele,Gabriele,Pancast,,0,6,82,,,,,,,4 International Drive,,Saanich,personal,No Surveys,Do Not Email,Opt-out,Opt-out,Opt-in,Newsletter
,,,false,false,Randell,,Freddi,Heller LLC,13,13,47,mauris enim leo rhoncus sed vestibulum sit amet,,,,,,5588 Alpine Junction,PO Box 34020,Victoria,personal,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-in,Event
,Ernie Hyrons,,false,false,Ernie,,Hyrons,Wolf Group,8,20,92,,,,,,,0 Ryan Plaza,18th Floor,Parksville,personal,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-out,Holiday Card
,,Barry Chisholme,false,false,Barry,,Chisholme,Sporer Group,8,4,98,urna ut tellus nulla ut erat id,,,,,,1883 Almo Park,13th Floor,Saanich,work,No Mass Communications,Do Not Email,Opt-in,Opt-out,Opt-in,Survey
,,,false,false,Junie,,Moulsdall,Stroman Group,2,3,12,,,,,,,2 Alpine Trail,,Surrey,personal,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Survey
,,,false,false,Tammy,,Praten,Abernathy Group,10,15,53,,,,,,dui maecenas tristique est et tempus semper est quam pharetra,896 Farmco Parkway,,Courtenay,work,Do Not Call,No Appeals,Opt-in,Opt-in,Opt-in,Thank you
,Loralyn Hefforde,Loralyn Hefforde,false,false,Loralyn,Loralyn,Hefforde,Hansen Group,3,19,30,,,,,,,8306 Lerdahl Alley,,Parksville,work,No Phone Appeals,No Mass Emails,Opt-in,Opt-out,Opt-out,Thank you
,,,false,true,Eben,,Lovell,Schroeder-Leffler,13,12,78,,,,,,enim leo rhoncus sed,44 Nova Park,,Campbell,personal,Do Not Call,No Mass Emails,Opt-out,Opt-in,Opt-in,Thank you
,,Dorree Reinbach,false,false,Dorree,,Reinbach,"Bosco, Crist and Kuhic",15,8,12,,,,,,rutrum neque aenean auctor gravida sem praesent,43612 Russell Junction,,Burnaby,home,No Mass Communications,No Surveys,Opt-out,Opt-out,Opt-in,Research update
,,,false,false,Fidelia,Fidelia,Fairfoul,,19,6,67,,,,,,,515 Fordem Park,,River,personal,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-out,Event
,Marita Ivoshin,,true,true,Marita,,Ivoshin,Brakus Group,17,6,95,,7037,,,,sit amet consectetuer adipiscing elit proin risus praesent,43 Orin Point,,Burnaby,work,No Mass Communications,No Mass Emails,Opt-in,Opt-in,Opt-in,Survey
Siegfried Ziems,Siegfried Ziems,,true,false,Siegfried,,Ziems,Wiegand-Murazik,16,6,99,,,,,,,53594 4th Place,Suite 29,Richmond,work,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-out,Event
,Enos Mayes,,false,false,Enos,,Mayes,"Gleichner, McClure and Price",7,20,19,,,,,,,7 Sutherland Terrace,Room 468,Vancouver,personal,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-in,Research update
,,,false,false,Kile,,Shireff,,2,16,52,id consequat,,,83,,,63 Caliangt Circle,Room 708,Nanaimo,home,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-out,Survey
,Mycah Sweynson,,false,false,Mycah,,Sweynson,Ritchie-Schiller,11,16,100,,,,,,volutpat quam pede lobortis ligula sit amet,503 Carioca Plaza,19th Floor,Parksville,personal,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-in,Event
